movie_name,movie_date,movie_genre
The Shawshank Redemption,1994,Drama
The Godfather,1972,Crime
The Godfather,1972,Drama
The Dark Knight,2008,Action
The Dark Knight,2008,Crime
The Dark Knight,2008,Drama
The Godfather Part II,1974,Crime
The Godfather Part II,1974,Drama
12 Angry Men,1957,Crime
12 Angry Men,1957,Drama
Schindler's List,1993,Biography
Schindler's List,1993,Drama
Schindler's List,1993,History
The Lord of the Rings: The Return of the King,2003,Action
The Lord of the Rings: The Return of the King,2003,Adventure
The Lord of the Rings: The Return of the King,2003,Drama
Pulp Fiction,1994,Crime
Pulp Fiction,1994,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,Action
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure
The Lord of the Rings: The Fellowship of the Ring,2001,Drama
"The Good, the Bad and the Ugly",1966,Adventure
"The Good, the Bad and the Ugly",1966,Western
Forrest Gump,1994,Drama
Forrest Gump,1994,Romance
Fight Club,1999,Drama
The Lord of the Rings: The Two Towers,2002,Action
The Lord of the Rings: The Two Towers,2002,Adventure
The Lord of the Rings: The Two Towers,2002,Drama
Inception,2010,Action
Inception,2010,Adventure
Inception,2010,Sci-Fi
Star Wars: Episode V - The Empire Strikes Back,1980,Action
Star Wars: Episode V - The Empire Strikes Back,1980,Adventure
Star Wars: Episode V - The Empire Strikes Back,1980,Fantasy
The Matrix,1999,Action
The Matrix,1999,Sci-Fi
Goodfellas,1990,Biography
Goodfellas,1990,Crime
Goodfellas,1990,Drama
One Flew Over the Cuckoo's Nest,1975,Drama
Se7en,1995,Crime
Se7en,1995,Drama
Se7en,1995,Mystery
Seven Samurai,1954,Action
Seven Samurai,1954,Drama
It's a Wonderful Life,1946,Drama
It's a Wonderful Life,1946,Family
It's a Wonderful Life,1946,Fantasy
The Silence of the Lambs,1991,Crime
The Silence of the Lambs,1991,Drama
The Silence of the Lambs,1991,Thriller
City of God,2002,Crime
City of God,2002,Drama
Saving Private Ryan,1998,Drama
Saving Private Ryan,1998,War
Interstellar,2014,Adventure
Interstellar,2014,Drama
Interstellar,2014,Sci-Fi
Life Is Beautiful,1997,Comedy
Life Is Beautiful,1997,Drama
Life Is Beautiful,1997,Romance
The Green Mile,1999,Crime
The Green Mile,1999,Drama
The Green Mile,1999,Fantasy
Star Wars: Episode IV - A New Hope,1977,Action
Star Wars: Episode IV - A New Hope,1977,Adventure
Star Wars: Episode IV - A New Hope,1977,Fantasy
Terminator 2: Judgment Day,1991,Action
Terminator 2: Judgment Day,1991,Sci-Fi
Back to the Future,1985,Adventure
Back to the Future,1985,Comedy
Back to the Future,1985,Sci-Fi
Spirited Away,2001,Animation
Spirited Away,2001,Adventure
Spirited Away,2001,Family
The Pianist,2002,Biography
The Pianist,2002,Drama
The Pianist,2002,Music
Psycho,1960,Horror
Psycho,1960,Mystery
Psycho,1960,Thriller
Parasite,2019,Drama
Parasite,2019,Thriller
Léon: The Professional,1994,Action
Léon: The Professional,1994,Crime
Léon: The Professional,1994,Drama
The Lion King,1994,Animation
The Lion King,1994,Adventure
The Lion King,1994,Drama
Gladiator,2000,Action
Gladiator,2000,Adventure
